province,production,productivity,harvest_area,year
Aceh,1861567100,5649,329515.78,2018
Sumatera Utara,2108284720,5165,408176.45,2018
Sumatera Barat,1483076480,4737,313050.82,2018
Riau,266375530,3728,71448.08,2018
Jambi,383045740,4444,86202.68,2018
Sumatera Selatan,2994191840,5148,581574.61,2018
Bengkulu,288810520,4383,65891.16,2018
Lampung,2488641910,4861,511940.93,2018
Kepulauan Bangka Belitung,45724690,2653,17233.59,2018
Kepulauan Riau,1097000,2919,375.87,2018
DKI Jakarta,4899140,7276,673.37,2018
Jawa Barat,9647358750,5651,1707253.81,2018
Jawa Tengah,10499588230,5763,1821983.17,2018
DI Yogyakarta,514935490,5481,93956.45,2018
Jawa Timur,10203213170,5826,1751191.67,2018
Banten,1687783300,4894,344836.06,2018
Bali,667069060,6011,110978.37,2018
Nusa Tenggara Barat,1460338810,5049,289242.59,2018
Nusa Tenggara Timur,899935880,4124,218232.91,2018
Kalimantan Barat,799715210,2792,286476.03,2018
Kalimantan Tengah,514769050,3488,147571.69,2018
Kalimantan Selatan,1327492410,4109,323091.21,2018
Kalimantan Timur,262773880,4045,64961.16,2018
Kalimantan Utara,45063530,3288,13707,2018
Sulawesi Utara,326929740,4647,70352.62,2018
Sulawesi Tengah,926978660,4605,201279.24,2018
Sulawesi Selatan,5952616450,5021,1185484.1,2018
Sulawesi Tenggara,538876140,3943,136673.75,2018
Gorontalo,269540400,4760,56631.64,2018
Sulawesi Barat,316478370,4846,65303.78,2018
Maluku,116228860,4001,29052.14,2018
Maluku Utara,49047110,3657,13412.75,2018
Papua Barat,24967130,3215,7767.01,2018
Papua,223119420,4257,52411.95,2018
Indonesia,59200533720,5203,11377934.44,2018
Aceh,1714437600,5530,310012.46,2019
Sumatera Utara,2078901590,5032,413141.24,2019
Sumatera Barat,1482996010,4758,311671.23,2019
Riau,230873970,3656,63142.04,2019
Jambi,309932680,4457,69536.06,2019
Sumatera Selatan,2603396240,4827,539316.52,2019
Bengkulu,296472070,4603,64406.86,2019
Lampung,2164089330,4663,464103.42,2019
Kepulauan Bangka Belitung,48805680,2856,17087.81,2019
Kepulauan Riau,1150800,3230,356.27,2019
DKI Jakarta,3359310,5396,622.59,2019
Jawa Barat,9084957220,5754,1578835.7,2019
Jawa Tengah,9655653980,5753,1678479.21,2019
DI Yogyakarta,533477400,4786,111477.36,2019
Jawa Timur,9580933880,5628,1702426.36,2019
Banten,1470503350,4842,303731.8,2019
Bali,579320530,6078,95319.34,2019
Nusa Tenggara Barat,1402182390,4978,281666.04,2019
Nusa Tenggara Timur,811724180,4082,198867.41,2019
Kalimantan Barat,847875130,2923,290048.44,2019
Kalimantan Tengah,443561330,3035,146144.51,2019
Kalimantan Selatan,1342861820,3770,356245.95,2019
Kalimantan Timur,253818370,3641,69707.75,2019
Kalimantan Utara,33357190,3240,10294.7,2019
Sulawesi Utara,277776310,4479,62020.39,2019
Sulawesi Tengah,844904300,4540,186100.44,2019
Sulawesi Selatan,5054166960,5003,1010188.75,2019
Sulawesi Tenggara,519706930,3927,132343.86,2019
Gorontalo,231211110,4718,49009.95,2019
Sulawesi Barat,300142220,4796,62581.47,2019
Maluku,98254750,3782,25976.85,2019
Maluku Utara,37945640,3243,11700.5,2019
Papua Barat,29943560,4163,7192.15,2019
Papua,235339510,4348,54131.72,2019
Indonesia,54604033340,5114,10677887.15,2019
Aceh,1757313070,5528,317869.41,2020
Sumatera Utara,2040500190,5251,388591.22,2020
Sumatera Barat,1387269290,4692,295664.47,2020
Riau,243685040,3764,64733.13,2020
Jambi,386413490,4558,84772.93,2020
Sumatera Selatan,2743059680,4975,551320.76,2020
Bengkulu,292834040,4566,64137.28,2020
Lampung,2650289640,4862,545149.05,2020
Kepulauan Bangka Belitung,57324320,3213,17840.55,2020
Kepulauan Riau,852540,2856,298.52,2020
DKI Jakarta,4543930,4969,914.51,2020
Jawa Barat,9016772580,5682,1586888.63,2020
Jawa Tengah,9489164620,5693,1666931.49,2020
DI Yogyakarta,523395950,4735,110548.12,2020
Jawa Timur,9944538260,5668,1754380.3,2020
Banten,1655170090,5088,325333.24,2020
Bali,532168450,5849,90980.69,2020
Nusa Tenggara Barat,1317189810,4817,273460.82,2020
Nusa Tenggara Timur,725024300,3990,181690.63,2020
Kalimantan Barat,778170360,3033,256575.43,2020
Kalimantan Tengah,457952000,3196,143275.05,2020
Kalimantan Selatan,1150306660,3969,289836.35,2020
Kalimantan Timur,262434520,3567,73568.44,2020
Kalimantan Utara,33574280,3397,9883.05,2020
Sulawesi Utara,248879480,4025,61827.86,2020
Sulawesi Tengah,792248840,4449,178066.94,2020
Sulawesi Selatan,4708464970,4823,976258.14,2020
Sulawesi Tenggara,532773490,3985,133697.15,2020
Gorontalo,227627200,4675,48686.34,2020
Sulawesi Barat,345050370,5323,64826.18,2020
Maluku,110447300,3853,28668.22,2020
Maluku Utara,43382850,4211,10301.91,2020
Papua Barat,24378330,3220,7570.63,2020
Papua,166002300,3148,52727.52,2020
Indonesia,54649202240,5128,10657274.96,2020
Aceh,1634639600,5503,297058.38,2021
Sumatera Utara,2004142510,5200,385405,2021
Sumatera Barat,1317209380,4836,272391.95,2021
Riau,217458870,4098,53062.35,2021
Jambi,298149250,4629,64412.26,2021
Sumatera Selatan,2552443190,5144,496241.65,2021
Bengkulu,271117190,4867,55704.69,2021
Lampung,2485452780,5077,489573.23,2021
Kepulauan Bangka Belitung,70496250,3857,18278.27,2021
Kepulauan Riau,855010,3165,270.16,2021
DKI Jakarta,3249470,5803,559.97,2021
Jawa Barat,9113573080,5681,1604109.31,2021
Jawa Tengah,9618656810,5669,1696712.36,2021
DI Yogyakarta,556531030,5177,107506.16,2021
Jawa Timur,9789587670,5602,1747481.2,2021
Banten,1603247000,5038,318248.46,2021
Bali,618910810,5883,105201.31,2021
Nusa Tenggara Barat,1419559840,5139,276211.88,2021
Nusa Tenggara Timur,731877740,4185,174900.07,2021
Kalimantan Barat,711898010,3190,223165.74,2021
Kalimantan Tengah,381189550,3028,125870.05,2021
Kalimantan Selatan,1016313550,3997,254263.59,2021
Kalimantan Timur,244677960,3692,66269.46,2021
Kalimantan Utara,29967310,3374,8880.83,2021
Sulawesi Utara,232884760,3935,59182.52,2021
Sulawesi Tengah,867012770,4759,182186.62,2021
Sulawesi Selatan,5090637230,5167,985158.23,2021
Sulawesi Tenggara,530029080,4157,127517.29,2021
Gorontalo,234392860,4812,48713.5,2021
Sulawesi Barat,311072460,5205,59763.18,2021
Maluku,116803670,4124,28319.75,2021
Maluku Utara,28050800,3605,7781.96,2021
Papua Barat,26926930,4198,6414.94,2021
Papua,286279800,4405,64984.9,2021
Indonesia,54415294220,5226,10411801.22,2021
Aceh,1509456460,5555,271750.16,2022
Sumatera Utara,2088583810,5076,411462.1,2022
Sumatera Barat,1373532190,5052,271883.11,2022
Riau,213557230,4183,51054.04,2022
Jambi,277743830,4588,60539.59,2022
Sumatera Selatan,2775069260,5406,513378.2,2022
Bengkulu,281610090,4927,57151.84,2022
Lampung,2688159740,5187,518256.06,2022
Kepulauan Bangka Belitung,61425070,4066,15107.8,2022
Kepulauan Riau,506910,2824,179.48,2022
DKI Jakarta,2337770,4898,477.25,2022
Jawa Barat,9433723090,5675,1662403.96,2022
Jawa Tengah,9356445490,5541,1688669.65,2022
DI Yogyakarta,561699530,5064,110927.24,2022
Jawa Timur,9526515670,5626,1693210.7,2022
Banten,1788582600,5304,337240.74,2022
Bali,680601600,6059,112320.62,2022
Nusa Tenggara Barat,1452945470,5379,270092.88,2022
Nusa Tenggara Timur,756049910,4129,183091.99,2022
Kalimantan Barat,731225800,3028,241478.6,2022
Kalimantan Tengah,343918750,3178,108226.75,2022
Kalimantan Selatan,819419200,3813,214908.91,2022
Kalimantan Timur,239425340,3685,64970.01,2022
Kalimantan Utara,30533590,3549,8604.19,2022
Sulawesi Utara,243730280,4188,58195.56,2022
Sulawesi Tengah,744408700,4405,168993.18,2022
Sulawesi Selatan,5360169370,5164,1038084.29,2022
Sulawesi Tenggara,478958030,4050,118258.79,2022
Gorontalo,240134530,5129,46823.47,2022
Sulawesi Barat,353513290,5099,69323.95,2022
Maluku,92601060,3860,23987.82,2022
Maluku Utara,24486030,3816,6416.45,2022
Papua Barat,23963920,4389,5460.59,2022
Papua,193943470,3899,49741.91,2022
Indonesia,54748977080,5238,10452671.88,2022
